iter	Logloss
0	0.6689413093
1	0.6467107317
2	0.623314562
3	0.6003649005
4	0.5811898505
5	0.5633038001
6	0.5490582216
7	0.5352555608
8	0.524915589
9	0.5117402619
10	0.5023808498
11	0.493565985
12	0.4836651551
13	0.4749630408
14	0.4663063349
15	0.4592888656
16	0.4526451829
17	0.4455184996
18	0.4406603705
19	0.4337206194
20	0.4290951209
21	0.4233518563
22	0.4193450449
23	0.4170285992
24	0.4129181566
25	0.4089396069
26	0.4035995394
27	0.3996728366
28	0.3975867148
29	0.3937171517
30	0.3911208059
31	0.3869963882
32	0.3831755814
33	0.3807320748
34	0.3786235705
35	0.3755974115
36	0.3731079221
37	0.3709390349
38	0.3689546234
39	0.3674894984
40	0.36591603
41	0.3639939073
42	0.3611966242
43	0.3595561248
44	0.35827716
45	0.3555329716
46	0.3539242643
47	0.3523388672
48	0.3511561914
49	0.3494340695
50	0.3475444659
51	0.3465525638
52	0.3440540927
53	0.3427673908
54	0.3407311952
55	0.3388982646
56	0.3373870491
57	0.3359939815
58	0.3346743056
59	0.3332654227
60	0.3323096661
61	0.331227429
62	0.3298946755
63	0.3281334582
64	0.3263005365
65	0.3251094384
66	0.3243270365
67	0.3231420928
68	0.3221218304
69	0.3210270721
70	0.3201555379
71	0.3192260293
72	0.3180247707
73	0.3170248712
74	0.3150209763
75	0.3139825948
76	0.3129804155
77	0.3116660832
78	0.3105954309
79	0.3096262464
80	0.3084720507
81	0.3072316847
82	0.3054047139
83	0.3034025125
84	0.3027251778
85	0.3022490498
86	0.3010216627
87	0.3001656327
88	0.2998472835
89	0.2989258261
90	0.2974111101
91	0.2965259836
92	0.2954322097
93	0.2948097438
94	0.2944356283
95	0.2937111499
96	0.2932490181
97	0.2927925589
98	0.2920196144
99	0.2914287283
100	0.2905579451
101	0.290011115
102	0.2891495649
103	0.288465099
104	0.2878485092
105	0.2872954963
106	0.2861882722
107	0.2848298211
108	0.2842780573
109	0.2831966236
110	0.2822111317
111	0.2813657663
112	0.2809465521
113	0.2803322048
114	0.2793262377
115	0.2784756604
116	0.2776386949
117	0.2771137851
118	0.2765771125
119	0.2753523987
120	0.2746334944
121	0.273541164
122	0.2731793781
123	0.2722406859
124	0.2712112157
125	0.2697610414
126	0.269305954
127	0.2686751212
128	0.2680138696
129	0.2672523858
130	0.2662197263
131	0.2655131576
132	0.2649462621
133	0.2642695872
134	0.2639349545
135	0.2634260813
136	0.2628713122
137	0.2624670919
138	0.2614987751
139	0.2608942069
140	0.2604537754
141	0.2595926352
142	0.2590409582
143	0.2583279239
144	0.2580465504
145	0.2576572702
146	0.2570368868
147	0.2566038079
148	0.2559893485
149	0.2555479027
150	0.2549193573
151	0.2537680876
152	0.2532615288
153	0.2525780771
154	0.2522373588
155	0.2518722863
156	0.2514547356
157	0.2510250914
158	0.2505026933
159	0.25018847
160	0.2497662608
161	0.249423891
162	0.2489904052
163	0.2484647893
164	0.2480481944
165	0.2473644631
166	0.2469441462
167	0.246088013
168	0.2455541319
169	0.2448050884
170	0.2445013996
171	0.244210404
172	0.2437169782
173	0.2434734988
174	0.2428796462
175	0.2421491645
176	0.2415157049
177	0.2410566248
178	0.2405687055
179	0.24001795
180	0.2394497157
181	0.2390892642
182	0.2387540825
183	0.2383029564
184	0.2377785716
185	0.2373123423
186	0.2368161819
187	0.2364927913
188	0.2357094783
189	0.2353819395
190	0.2350078059
191	0.2346021226
192	0.2341514213
193	0.2335673942
194	0.2332249196
195	0.2329638447
196	0.2322460429
197	0.2316989001
198	0.2314762774
199	0.2310602061
200	0.2306005844
201	0.2302201768
202	0.2298832837
203	0.2294673276
204	0.2287490411
205	0.228095178
206	0.2275640764
207	0.2269413069
208	0.226497885
209	0.2260496925
210	0.2258294753
211	0.2252383872
212	0.2250084836
213	0.2246977249
214	0.2242291155
215	0.2237196754
216	0.2234796532
217	0.2230453536
218	0.2226207703
219	0.2222320602
220	0.2218325342
221	0.2216080071
222	0.221198358
223	0.2204274181
224	0.2200712032
225	0.2198151487
226	0.2191126356
227	0.2187136063
228	0.2184718936
229	0.2180464337
230	0.2176337253
231	0.2172269754
232	0.2170270718
233	0.2166383063
234	0.2160421678
235	0.2155749392
236	0.215244754
237	0.214842281
238	0.214399082
239	0.2141803487
240	0.2138653564
241	0.2135297154
242	0.2130916177
243	0.2126379215
244	0.2123190248
245	0.2115725095
246	0.2110982813
247	0.2107472079
248	0.2104062428
249	0.2101952452
250	0.2093835135
251	0.2089892713
252	0.2086363534
253	0.2081578842
254	0.2079838457
255	0.207320244
256	0.2070254307
257	0.2068313359
258	0.2066153822
259	0.2060580519
260	0.2056959489
261	0.2054319045
262	0.2049271363
263	0.20466419
264	0.2041616133
265	0.2038847949
266	0.203496749
267	0.203097063
268	0.2027271929
269	0.202398351
270	0.2018414935
271	0.2014353404
272	0.2009027593
273	0.2004050281
274	0.1999592456
275	0.1994961727
276	0.1993350594
277	0.1991565046
278	0.1988869087
279	0.1987263549
280	0.1981877331
281	0.1978942901
282	0.1975497721
283	0.1972323758
284	0.1970778372
285	0.1968172051
286	0.1963185673
287	0.1958626512
288	0.1949903152
289	0.1946197704
290	0.1939952596
291	0.1936574285
292	0.1932878606
293	0.1928714004
294	0.19235764
295	0.1920682167
296	0.1917789848
297	0.1916495484
298	0.1913088481
299	0.1906891946
300	0.1903699508
301	0.1897827074
302	0.1893113963
303	0.1890292852
304	0.1887813793
305	0.1884364573
306	0.1881177745
307	0.187534078
308	0.1871940718
309	0.1864929498
310	0.1862508213
311	0.1855429421
312	0.1849478703
313	0.1847479772
314	0.1843832113
315	0.1842579845
316	0.1836675726
317	0.1832354871
318	0.1829351133
319	0.1826808226
320	0.1822699468
321	0.1818911145
322	0.1816928908
323	0.1810960298
324	0.1808821914
325	0.180297301
326	0.1799173946
327	0.1797063536
328	0.1791415001
329	0.1789204721
330	0.1785271559
331	0.1782525979
332	0.1777320877
333	0.1773962163
334	0.1769603011
335	0.1765218623
336	0.1763289089
337	0.1758470558
338	0.1753826336
339	0.1748634174
340	0.1745731982
341	0.1743894106
342	0.1740325195
343	0.1737821676
344	0.1734724142
345	0.1732401306
346	0.1727525285
347	0.1725285085
348	0.1720794289
349	0.1717944665
350	0.1715751768
351	0.1711648006
352	0.1709335402
353	0.1707828178
354	0.1703929033
355	0.1701004342
356	0.1698880409
357	0.1697191665
358	0.169468131
359	0.1692355616
360	0.1687715777
361	0.1684748975
362	0.1682434471
363	0.1680540197
364	0.1678687032
365	0.1674228444
366	0.1671242822
367	0.1667705775
368	0.166305711
369	0.1659999847
370	0.1653610776
371	0.1652143022
372	0.1649803566
373	0.1647921214
374	0.1645969241
375	0.1644011449
376	0.164044253
377	0.1636793189
378	0.1631589209
379	0.1628472885
380	0.1625596828
381	0.1622131617
382	0.1617555551
383	0.1612959918
384	0.1610692058
385	0.1609097754
386	0.1606508322
387	0.1603538491
388	0.1601296795
389	0.1597608738
390	0.159553913
391	0.1591006305
392	0.1588972623
393	0.1583767655
394	0.1578304059
395	0.1574428708
396	0.1570020175
397	0.1565767251
398	0.156259266
399	0.1560134491
400	0.1558188764
401	0.1555955834
402	0.1551928367
403	0.1549534659
404	0.1546684654
405	0.1544122943
406	0.1542597991
407	0.1540854091
408	0.1537674175
409	0.153388986
410	0.1532246937
411	0.1527824163
412	0.1525118166
413	0.1523719743
414	0.1520773443
415	0.1518548659
416	0.1514839831
417	0.1512776625
418	0.1510645623
419	0.150819118
420	0.1506194949
421	0.1503764814
422	0.1501938143
423	0.14993594
424	0.1496164172
425	0.1491272676
426	0.1487777186
427	0.1483401871
428	0.1479170923
429	0.1474514172
430	0.1472623967
431	0.1469395761
432	0.1466620471
433	0.1462990413
434	0.1458409223
435	0.1455036792
436	0.1453637808
437	0.1451428155
438	0.144997786
439	0.1448128308
440	0.1444856195
441	0.1440882522
442	0.1436654932
443	0.1435402433
444	0.1432333135
445	0.1430649462
446	0.1428359275
447	0.1425387865
448	0.1421752638
449	0.1419192924
450	0.1417364001
451	0.1414662716
452	0.1412853286
453	0.140895275
454	0.1407946792
455	0.1406065122
456	0.1402182934
457	0.1398087146
458	0.1395738632
459	0.1392546463
460	0.1389029492
461	0.138699913
462	0.1384057901
463	0.1380351691
464	0.137900235
465	0.1375169612
466	0.1372452627
467	0.1369236337
468	0.1367568828
469	0.1365017311
470	0.1362273235
471	0.1360258469
472	0.135692369
473	0.1353421686
474	0.1349638359
475	0.134840527
476	0.1346296625
477	0.1344152578
478	0.1341100169
479	0.1340207395
480	0.1339066928
481	0.1336801454
482	0.1335699523
483	0.1332977175
484	0.1331720397
485	0.1327975389
486	0.1324688115
487	0.1323036538
488	0.1319472504
489	0.1318139372
490	0.1315887997
